label,text,scenario,tactic_primary,entities,notes
Spam,aint till escapenumber cash sign bonus bet bonus limited time sportingbetusa give escapenumber cash sign bonus make deposit day sign bet bonus plus sign give free three team parlay sportingbetusa offer best odds check following browse lines escapenumber mlb world series free sports tickets click chat live customer service representative unsubscribe mailing list send us email word remove subject field youve received one emails contact customer service hard feelings,FRAUD_SOCIAL_ENGINEERING,REWARD,60:76:ORG;193:209:ORG;226:241:DATE,
Ham,hi try this plot simul ylab escapelong beta xlab escapelong sigma escapenumber henrique dallazuanna curitiba paran eescapenumber brasil escapenumber bescapenumber escapenumber' escapenumber s escapenumber bescapenumber escapenumber' escapenumber o on escapenumber escapenumber escapenumber croero hotmail com wrote hello i would like to add to axis labels special caracters instead of writing plot simul xlab escapenumberd beta ylab escapenumberd sigmaescapenumber it would be great i f i could write something as in latex plot simul xlab escapenumberd \\beta ylab escapenumberd \\sigma escapenumber is there a way to do that thank you ues clics pour retrouver tout ce qui vous int eescapenumberresse au m eame endroit alternative html version deleted r help stat math ethz ch mailing list https stat ethz ch mailman listinfo r help please do read the posting guide http www r project org posting guide html and provide commented minimal self contained reproducible code alternative html version deleted,IT_SYSTEM,,78:98:PERSON;99:106:LOCATION;114:120:LOCATION;231:251:EMAIL;592:621:URL;633:669:URL;702:758:URL,
Phish,juana goode karlaobsoletegodwinwhatwgorg stud 2008 achieve dreams super size amazing growth within short weeks possible breakthrough two capsules day start enjoying larger powerful httpscorewaitcom wed 06 aug 2008 080310 0200 highly secure 256bit order processing,FRAUD_SOCIAL_ENGINEERING,REWARD,0:11:PERSON;12:43:EMAIL;187:206:URL;207:239:DATE,
Ham,thursday october escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber gmt escapenumber escapenumber central time us canada eb escapenumber mescapenumber behalf linda roberts meeting scheduled discuss texas general land office management proposal meeting take place follows thursday october escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber enron corp escapenumber smith houston tx escapenumber eb escapelong escapenumberth floor questions please contact linda roberts escapenumber escapenumber escapenumber thank irena hogan sr administrative assistant escapenumber escapenumber escapenumber,HR_RECRUITING,,0:73:DATE;147:160:PERSON;185:216:ORG;258:331:DATE;332:342:ORG;385:393:LOCATION;452:465:PERSON;493:504:PERSON;505:534:ROLE_TITLE,
Ham,list gas power products would like see screen call questions stephane brodeur escapenumber escapenumber escapenumber,FINANCE_TRADING,,68:84:PERSON;85:114:PHONE,
Ham,begin pgp signed message hash shaescapenumber dmitry butskoy wrote i'm glad to inform you that now mod auth ntlm winbind is included into fedora formely known as redhat linux see http www fedoraproject org it is an apache module and allows to authenticate users using winbind daemon this way both ntlm and negotiate auth types can be performed against a windows domain proxy authentication is supported as well the source of this package still is present in samba's cvs only no any upstream site for now but the code itself is stable and has enough history of usage i shall maintain this package in fedora we really need a release manager maintainer for this cutting rpms out of an svn tree is probably not the best way to track stability andrew you had looked into this in the past is anyone interested in taking it over cheers jerry samba http www samba org centeris http www centeris com what man is a man who does not make the world better balian begin pgp signature version gnupg vescapenumber escapenumber escapenumber gnu linux comment using gnupg with mozilla http enigmail mozdev org escapelong escapelong mw escapelong ljsy end pgp signature,IT_SYSTEM,,42:56:PERSON;121:127:ORG;149:161:ORG;168:208:URL;218:224:ORG;525:531:ORG;652:659:ORG;678:683:PERSON;690:695:ORG;696:716:URL;726:734:ORG;735:757:URL;860:871:ORG;909:929:URL,
Spam,looking for che p meds ciick here and just get what you need che pest medlcations from u s based licensed online phartmacy vlagra clails levltra xamax valilum tamlflu somma much more best price real american quality get it right now,FRAUD_SOCIAL_ENGINEERING,HELPFUL_SERVICE,,Pharmaceutical spam
Ham,the following expense report is ready for approval employee name richard s shapiro status last changed by automated administrator expense report name rsescapenumber report total escapenumber escapenumber escapenumber amount due employee escapenumber escapenumber escapenumber to approve this expense report click on the following link for concur expense http expensexms enron com,EXPENSE_ADMIN,,63:81:PERSON;83:121:SYSTEM_TOKEN;138:152:ID;277:307:URL,
Phish,adeline barker prjlbowern8pluscom got good news breathtaking performance bed fda appoved toto safe buy drug stores dont pay expenses drugstores simply undertake purchasing viagra online pharmacy acquirecomfort harmony half reduced pricethe prices offer astounding examples picelistacomplicia 079 phentrime 9039 vyigra 115httpmotivationflatcom thu 07 aug 2008 143853 0530 123,FRAUD_SOCIAL_ENGINEERING,REWARD,0:14:PERSON;15:36:EMAIL;79:82:ORG:REGULATOR;317:342:URL;343:377:DATE,
Spam,gervasio said has a at the beach become creative social pressures love to do dear buyer warning new unique preparation will enlarge your mojo it obtained popularity over the whole world and aided to many people this is the mega dik more than escapenumber escapenumber men in the entire world have already been satisfied by the quantity and efficacy of mega dik and this is a opportunity for you join to them visit website many parentsfor many families would worry if parents and videos or older children annual meeting in,FRAUD_SOCIAL_ENGINEERING,REWARD,,Adult product spam
Phish,carter kati invivo7sportsradiocom fcrzsywoozbckxtjvvqxnkcxaavifcrzsywoozbckxtjvvqxnkcxaavifcrz watch woozbckxtjvvqxnkcxaavifcrzsywoozbckxtjvvqxnkcxaavifcrzsywooz wed 06 aug 2008 142312 0000 fordfc197818ad2d1c868cd2731b199ef0b britney spears paris hilton lovers video proof,FRAUD_SOCIAL_ENGINEERING,REWARD,0:11:PERSON;12:37:EMAIL;144:177:DATE;202:216:PERSON;217:229:PERSON,
Phish,elinor bragg evenr82soulagercom believe truly love ultimate expression live heart truly loves forever young httpqazoncleartraditioncom wed 06 aug 2008 190658 0300,FRAUD_SOCIAL_ENGINEERING,REWARD,0:12:PERSON;13:34:EMAIL;107:136:URL;137:170:DATE,
Ham,hi from the dict escapenumber manpage the dictionaries are not distributed outside bell labs how are the dictionaries formated anyway thanks vladmir do you yahoo send online invitations with yahoo invites http invites yahoo com,IT_SYSTEM,,82:91:ORG;129:136:PERSON;145:150:ORG;179:184:ORG;193:217:URL,
Spam,best oem software offer better examples ms windows xp professional escapenumber microsoft office escapenumber professional escapenumber adobe photoshop escapenumber escapenumber cs escapenumber macromedia studio mx escapenumber escapenumber adobe acrobat escapenumber escapenumber professional escapenumber quickbooks escapenumber professional edition escapenumber norton internet security pro escapenumber escapenumber adobe creative suite escapenumber quicken escapenumber premier home biz escapenumber ahead nero escapenumber escapenumber powerpack escapenumber winfax pro escapenumber escapenumber escapenumber adobe illustrator cs escapenumber adobe indesign cs escapenumber categories security business antivirus internet etc lots please check,FRAUD_SOCIAL_ENGINEERING,REWARD,44:53:ORG;122:127:ORG;195:205:ORG;259:264:ORG;316:326:ORG;367:373:ORG;429:434:ORG;485:490:ORG;535:540:ORG;560:565:ORG,Pirated software spam
Spam,handwriting god as cant certain meant intelligent commit added seven escapenumber dietproduct escapenumber naturaslim hoodia zombieii naturaslim™ pure hoodia is one of the most popular hoodia zombieii weight loss diet pills available unlike counterfeit products naturaslim™ uses escapenumber pure hoodia and is a successful nutritional supplement we have the certificates to prove it lowers your appetite your brain thinks you're full certified escapenumber pure african hoodia completely safe no side effects hoodia gorgonii is a natural appetite supressant from south africa hoodia works by 'tricking' your brain into thinking you have just eaten hoodia contains no toxic stimulants or nasty chemicals naturaslim is a escapenumbermg hoodia concentrate in capsule form naturaslim contains no additives or preservatives hoodia will reduce your daily caloric intake by up to escapenumber calories hoodia gives you control over your appetite hoodia will make you feel great its a natural mood enhancer hoodia will help you to lose weight by not over eating cheapest hoodia pills availabile we are constantly beating our competitors with price we have no competition besides slow seven edge rich wife if surprise among,FRAUD_SOCIAL_ENGINEERING,REWARD,,Diet supplement spam
Ham,dear moyez please arrange for the following three legal specialists in ews legal to have access to live link mary ogden xescapenumber mogden laurie mayer xescapenumber lmayer nony flores xescapenumber nflores thank you for your assistance with this matter and please call me with questions sincerely mary mary c ogden legal specialist enron wholesale services enron americas legal phone escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber mary ogden enron com,IT_SYSTEM,,5:10:PERSON;70:80:ORG;109:119:PERSON;135:147:PERSON;163:174:PERSON;289:293:PERSON;294:307:PERSON;308:325:ROLE_TITLE;326:353:ORG;354:376:ORG;450:469:EMAIL,
Spam,glad to see you look at the assortment of our new online pharmacy store and save upto escapenumber todays special offers viagra for as low as escapenumber escapenumber per dose cialis super viagra for as low as escapenumber escapenumber per dose levitra for as low as escapenumber escapenumber per dose and much much more special offers today itll take escapenumber minutes to be ready for action most needed medications are available viagra cialis levitra propecia and much much more free shipping worlwide no doctor visits no prescriptions full customer satisfactionclick here to visit our new drugstore have a nice day,FRAUD_SOCIAL_ENGINEERING,REWARD,,Pharmaceutical spam
Spam,"it is quite possible for someone to choose incorrectly or to judge badly but freedom must allow such mistakes . life contains but two tragedies . one is not to get your heart ' s desire the other is to get it . desperate for medz exsiccant on the net ? decongestive spermatogeny private , secure , and easy . filacer no - theologicoethical - pre - redivulgence - scription . white people really deal more with god and black people with jesus . elasticizes phalangian we ` ve got everything you will ever desire . sangei awfulness . we have in stock wich is greatest pain easer around . and much more ! http : / / dbenson . lobjxndfe . info / 3 / shelterwood kaffir haunched . conceal a flaw , and the world will imagine the worst . true life is lived when tiny changes occur . you will be fascinated when vlsit us ! readjournments only high - quality stuff for low rates ! 100 "" / . . moneyback guarantee ! the best leaders of all , the people know not they exist . they turn to each other and say we did it ourselves . if you ' re going to sin , sin against god , not the bureaucracy god will forgive you but the bureaucracy won t .",FRAUD_SOCIAL_ENGINEERING,HELPFUL_SERVICE,608:660:URL,Pharmaceutical spam with philosophical quotes
Ham,think finally decided lets keep reports separate pile blanco reports long downstream gas scheduled ie blanco window rock case break reports point number ie griffith escapenumber el paso end gas day whe filing away reports please leave griffith reports desk file away wasnt quite sure deal concluded eamr agent citizens keeping separate file function questions please feel free ask thanks amy,FINANCE_TRADING,,51:57:LOCATION;102:108:LOCATION;109:120:LOCATION;163:171:LOCATION;173:180:LOCATION;236:244:LOCATION;299:303:ORG;371:374:PERSON,
Spam,"from udo sankho dakar senegal . email : udosankho 3 @ excite . com dear sir i got your address while surfing on the net , i decided to forward this business proposal to you , hope it will benefit all concern . let me take a brief time out to introduce myself to you , i am udo sankho the only son of col . ibe sankho one of the senior officials of revolutionary united front of sierra leone ( r . u . f ) who died on 18 / 06 / 2000 with some of his colleagues during a cross fire battle between the ( r . u . f ) and the peace keeping forces in sierra leone which includesecomog , britsh army and u . n troops . in brief , i have the sum of sixteen million us dollars which i want to invest in your country . these money was deposited by my late father in a bank here in dakar senegal which i was made the beneficiary and next of kin as the only son of my parents . because of the present situation in my country sierra leone , my aged mother adviced me to leave the country immediately for security reasons , and also to look for a trust worthy and a reliable person who can assist me to transfer the money out of dakar senegal . sir , i highly need your assistance both in transferring the money to your country and also investing it as i confide in you hoping that you willnever betray me at last . i and my mother has proposed ( 15 % ) percent of the total sum of the money for you so as for you to give us all necessary assistance and protections we mayneed in your country . please treat highly confidential because our future depends on this money , all the vital documents covering the deposit in the bank are with me here in dakar senegal and will be fax to you on demand . looking forward to hearing from you . best regards . thanks and god bless you . udo sankho .",FRAUD_SOCIAL_ENGINEERING,REWARD,5:15:PERSON;16:21:LOCATION;22:29:LOCATION;40:60:EMAIL;275:285:PERSON;305:315:PERSON;350:396:ORG;423:434:DATE;513:525:LOCATION;544:551:ORG;563:570:ORG;643:653:MONEY;771:776:LOCATION;777:784:LOCATION;935:947:LOCATION;1141:1146:LOCATION;1147:1154:LOCATION;1697:1702:LOCATION;1703:1710:LOCATION;1801:1811:PERSON,Classic 419 scam
Spam,highschoolpledge com provides a free forum for students friends and relatives to communicate and assist high school students in making the correct decisions when it comes to drugs and alcohol please help us to spread the word about highschoolpledge com unsubscribe to future emails simply reply to this email with unsubscribe as the subject of your reply,OTHER,HELPFUL_SERVICE,0:23:URL;236:259:URL,Educational spam
